,Algo,Kernal,depthORk,TrainSize,TestSize,NotDeleted,Deleted,Time,TrainingResult,TestResult,F1_SCORE,Accuracy,JaccardScore,PRECISION,RECALL,"0,0","0,1","1,0","1,1"
62,DecisionTree,log_loss,2,338230,84558,,,2.287866354,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
63,DecisionTree,gini,2,338230,84558,,,2.028023958,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
64,DecisionTree,entropy,2,338230,84558,,,2.295367956,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
65,DecisionTree,log_loss,2,338230,84558,,,2.271232128,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
66,DecisionTree,gini,2,338230,84558,,,2.073624849,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
67,DecisionTree,entropy,2,338230,84558,,,2.302669525,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
68,DecisionTree,log_loss,2,338230,84558,,,2.28781724,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
69,DecisionTree,gini,2,338230,84558,,,1.983447552,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
70,DecisionTree,entropy,2,338230,84558,,,2.289769411,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
71,DecisionTree,log_loss,2,338230,84558,,,2.261708021,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
72,DecisionTree,gini,2,338230,84558,,,1.984501123,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
73,DecisionTree,entropy,2,338230,84558,,,2.307413578,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
74,DecisionTree,log_loss,2,338230,84558,,,2.268805742,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
75,DecisionTree,gini,2,338230,84558,,,2.02052331,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
76,DecisionTree,entropy,2,338230,84558,,,2.290975332,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
77,DecisionTree,log_loss,2,338230,84558,,,2.28829217,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
78,DecisionTree,gini,2,338230,84558,,,2.018020153,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
79,DecisionTree,entropy,2,338230,84558,,,2.293776274,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
80,DecisionTree,log_loss,2,338230,84558,,,2.330863953,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
81,DecisionTree,gini,2,338230,84558,,,2.009742737,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
82,DecisionTree,entropy,2,338230,84558,,,2.266791582,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
83,DecisionTree,log_loss,2,338230,84558,,,2.262181282,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
84,DecisionTree,gini,2,338230,84558,,,2.02006793,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
85,DecisionTree,entropy,2,338230,84558,,,2.288759947,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
